2025-07-27 10:30:12.3397||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-07-27 10:30:12.3538||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-07-27 10:30:12.3538||INFO|Microsoft.Hosting.Lifetime|Content root path: F:\PROJECT\AzmoonNew\Azmoon\EndPoint.Site |url: |action: 

2025-07-27 10:51:00.7446|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-27 10:51:00.7446|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-27 10:54:18.4941||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-07-27 10:54:18.6033||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-07-27 10:54:18.6033||INFO|Microsoft.Hosting.Lifetime|Content root path: F:\PROJECT\AzmoonNew\Azmoon\EndPoint.Site |url: |action: 

2025-07-27 10:55:36.1740||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-07-27 10:55:36.1888||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-07-27 10:55:36.1888||INFO|Microsoft.Hosting.Lifetime|Content root path: F:\PROJECT\AzmoonNew\Azmoon\EndPoint.Site |url: |action: 

2025-07-27 11:01:30.6320||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-07-27 11:01:30.6532||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-07-27 11:01:30.6570||INFO|Microsoft.Hosting.Lifetime|Content root path: F:\PROJECT\AzmoonNew\Azmoon\EndPoint.Site |url: |action: 

2025-07-27 11:01:50.2310||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-07-27 11:01:50.2474||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-07-27 11:01:50.2474||INFO|Microsoft.Hosting.Lifetime|Content root path: F:\PROJECT\AzmoonNew\Azmoon\EndPoint.Site |url: |action: 

2025-07-27 11:01:52.9108|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-27 11:01:52.9202|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-27 11:02:53.2270||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-07-27 11:02:53.2415||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-07-27 11:02:53.2415||INFO|Microsoft.Hosting.Lifetime|Content root path: F:\PROJECT\AzmoonNew\Azmoon\EndPoint.Site |url: |action: 

2025-07-27 11:03:16.8367||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-07-27 11:03:16.8502||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-07-27 11:03:16.8502||INFO|Microsoft.Hosting.Lifetime|Content root path: F:\PROJECT\AzmoonNew\Azmoon\EndPoint.Site |url: |action: 

2025-07-27 11:03:47.4406|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-27 11:03:47.4501|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Person/HourlyLeave/AttendanceSummary|action: AttendanceSummary

2025-07-27 11:05:30.5599||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2025-07-27 11:05:30.5780||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2025-07-27 11:05:30.5780||INFO|Microsoft.Hosting.Lifetime|Content root path: F:\PROJECT\AzmoonNew\Azmoon\EndPoint.Site |url: |action: 

