2023-06-08 09:56:50.8260|13|WARN|Microsoft.AspNetCore.Identity.UserManager|User validation failed: DuplicateUserName;DuplicateEmail. |url: |action: 

2023-06-08 09:56:50.9558|13|WARN|Microsoft.AspNetCore.Identity.UserManager|User validation failed: DuplicateUserName;DuplicateEmail. |url: |action: 

2023-06-08 09:56:50.9925|13|WARN|Microsoft.AspNetCore.Identity.UserManager|User validation failed: DuplicateUserName;DuplicateEmail. |url: |action: 

2023-06-08 09:57:00.1622||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 

2023-06-08 09:57:00.1622||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 

2023-06-08 09:57:00.1622||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\PROJECT\Azmoon\Azmoon-14000231-PM\Azmoon\EndPoint.Site |url: |action: 

2023-06-08 09:57:00.6025|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Admin/Survay|action: Index

2023-06-08 09:57:00.6025|10102|WARN|Microsoft.EntityFrameworkCore.Query|The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. |url: https://localhost/Admin/Survay|action: Index

2023-06-08 09:57:00.9877||INFO|LazZiya.TagHelpers.PagingTagHelper|----> PagingTagHelper SettingsJson: default - default |url: https://localhost/Admin/Survay|action: Index

2023-06-08 09:57:00.9877||INFO|LazZiya.TagHelpers.PagingTagHelper|----> PagingTagHelper - PageNo: 1, PageSize: 10, TotalRecords: 1, TotalPages: 1, QueryStringKeyPageNo: PageNo, QueryStringKeyPageSize: PageSize,  |url: https://localhost/Admin/Survay|action: Index

